title,vendor,publisher,platform,isbn,issn,eissn,yop,access_type,access_method,metric,total
Chinua Achebe's Things Fall Apart (Blooms's modern critical interpretations),EBSCO,Bloom's Literary Criticism,EBSCOhost,978-1-60413-581-7,,,2009,Controlled,Regular,Unique Title Requests,1
Bloom's How to Write About Homer (Bloom's how to write about literature),EBSCO,Bloom's Literary Criticism,EBSCOhost,978-1-60413-716-3,,,2010,Controlled,Regular,Unique Title Requests,1
Harper Lee's To Kill a Mockingbird (Bloom's guides),EBSCO,Bloom's Literary Criticism,EBSCOhost,978-1-60413-811-5,,,2010,Controlled,Regular,Unique Title Requests,1
Charles Dickens's Great Expectations (Bloom's modern critical interpretations),EBSCO,Bloom's Literary Criticism,EBSCOhost,978-1-60413-819-1,,,2010,Controlled,Regular,Unique Title Requests,3
"Al Sharpton: Civil Rights Leader (Black Americans of achievement, legacy edition)",EBSCO,Chelsea House Publishers,EBSCOhost,978-1-60413-834-4,,,2002,Controlled,Regular,Unique Title Requests,3
Anne Frank's The Diary of Anne Frank (Bloom's modern critical interpretations),EBSCO,Bloom's Literary Criticism,EBSCOhost,978-1-60413-868-9,,,2010,Controlled,Regular,Unique Title Requests,1
Handbook for Supply Chain Risk Management,ProQuest,J. Ross Publishing,ProQuest Ebook Central,978-1-60427-038-9,,,2011,Controlled,Regular,Unique Title Requests,1
"Handbook for Supply Chain Risk Management : Case Studies, Effective Practices and Emerging Trends",ProQuest,J. Ross Publishing,ProQuest Ebook Central,978-1-60427-038-9,,,2011,Controlled,Regular,Unique Title Requests,1
Agile Practices for Waterfall Projects : Shifting Processes for Competitive Advantage,ProQuest,J. Ross Publishing,ProQuest Ebook Central,978-1-60427-083-9,,,2012,Controlled,Regular,Unique Title Requests,6
Project Workflow Management : A Business Process Approach,ProQuest,J. Ross Publishing,ProQuest Ebook Central,978-1-60427-092-1,,,2013,Controlled,Regular,Unique Title Requests,1
New Orleans Cuisine : Fourteen Signature Dishes and Their Histories,ProQuest,University Press of Mississippi,ProQuest Ebook Central,978-1-60473-127-9,,,2009,Controlled,Regular,Unique Title Requests,3
Hungry Cowboy: Service and Community in a Neighborhood Restaurant,EBSCO,University of Mississippi,EBSCOhost,978-1-60473-206-1,,,2009,Controlled,Regular,Unique Title Requests,2
"Confederate and Neo-Confederate Reader : The ""Great Truth"" about the ""Lost Cause""",ProQuest,University Press of Mississippi,ProQuest Ebook Central,978-1-60473-219-1,,,2010,Controlled,Regular,Unique Title Requests,1
God of Comics,ProQuest,University Press of Mississippi,ProQuest Ebook Central,978-1-60473-220-7,,,2009,Controlled,Regular,Unique Title Requests,2
Drawing France,ProQuest,University Press of Mississippi,ProQuest Ebook Central,978-1-60473-444-7,,,2010,Controlled,Regular,Unique Title Requests,1
